Rep	Analysis	N_train	N_test	Type	Target	Model_Formula	Random_Effects_Formula	RMSE_train_orig	MAE_train_orig	RMSE_test_orig	MAE_test_orig	R2_train_orig	R2_adj_train_orig	R2_test_orig	R2_adj_test_orig	RMSE_train_orig_from_log	MAE_train_orig_from_log	RMSE_test_orig_from_log	MAE_test_orig_from_log	R2_train_orig_from_log	R2_adj_train_orig_from_log	R2_test_orig_from_log	R2_adj_test_orig_from_log	RMSE_train_Model_Scale	MAE_train_Model_Scale	RMSE_test_Model_Scale	MAE_test_Model_Scale	R2_train_Model_Scale	R2_adj_train_Model_Scale	R2_test_Model_Scale	R2_adj_test_Model_Scale	R2_train_conditional_Model_Scale	R2_train_marginal_Model_Scale	R2_test_conditional_Model_Scale	AIC_train_Model_Scale	BIC_train_Model_Scale	AIC_test_Model_Scale	BIC_test_Model_Scale	Homoscedasticity_BP_p_value_train	Homoscedasticity_BP_p_value_test	RE_Var	RE_Cov	RE_Variances	Fixed_Effects_Coefficients
1	Variable Train (by Vehicle), Variable Test	1	17	Aggregated	IRI	IRI		0.795133295	0.549317128	1.686045493	1.032563317	0.721490912	0.721232555	-0.252270268	-0.252406703									0.795133295	0.549317128	1.686045493	1.032563317	0.721490912	0.721232555	-0.252270268	-0.252406703				2575.736927	2590.691076			4.9693E-129			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Aggregated	IRI	IRI		0.662755787	0.470205142	1.754216291	1.059778114	0.806506424	0.806326931	-0.355581933	-0.355729624									0.662755787	0.470205142	1.754216291	1.059778114	0.806506424	0.806326931	-0.355581933	-0.355729624				2182.394037	2197.348186			3.3283E-127			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Aggregated	log_IRI	log_IRI		0.775359915	0.532173623	1.556543489	1.008921415	0.735170609	0.734678818	-0.067288944	-0.067405225	0.775359915	0.532173623	1.556543489	1.008921415	0.735170609	0.734678818	-0.067288944	-0.067405225	0.278306289	0.218824834	0.444064195	0.348004457	0.784676284	0.784476541	0.451802136	0.45174241				308.1959224	323.1500714			0.249921663			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Aggregated	log_IRI	log_IRI		0.653882364	0.467254027	1.607489905	1.020396361	0.811652986	0.811303223	-0.138298073	-0.138422091	0.653882364	0.467254027	1.607489905	1.020396361	0.811652986	0.811303223	-0.138298073	-0.138422091	0.240932682	0.195924591	0.433829277	0.341616806	0.838624628	0.83847493	0.47678096	0.476723955				-3.286227165	11.66792179			0.840150181			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS_div_V	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS + V	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS + V	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	IRI	IRI ~ RMSAS + V + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	1	17	Mixed (  )	log_IRI	log_IRI ~ log_RMSAS + log_V + Vehicle_Category	(1 + log_RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Aggregated	IRI	IRI		0.844939396	0.598897353	1.359198327	0.868394345	0.685507268	0.685361535	0.186186004	0.186091796									0.844939396	0.598897353	1.359198327	0.868394345	0.685507268	0.685361535	0.186186004	0.186091796				5407.936046	5424.969637			1.6811E-214			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Aggregated	IRI	IRI		0.737445339	0.520358194	1.337936695	0.84654665	0.76043732	0.760326309	0.211447483	0.2113562									0.737445339	0.520358194	1.337936695	0.84654665	0.76043732	0.760326309	0.211447483	0.2113562				4820.100963	4837.134554			1.5463E-231			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Aggregated	log_IRI	log_IRI		0.820319947	0.577077485	1.261353697	0.843359235	0.70356735	0.703292494	0.299136794	0.299055662	0.820319947	0.577077485	1.261353697	0.843359235	0.70356735	0.703292494	0.299136794	0.299055662	0.298113717	0.236365956	0.404580842	0.317733856	0.752935842	0.752821355	0.544952794	0.544900117				907.4037273	924.4373178			0.013078476			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Aggregated	log_IRI	log_IRI		0.721193653	0.510670836	1.252102557	0.825964855	0.77087985	0.770667407	0.309379768	0.309299821	0.721193653	0.510670836	1.252102557	0.825964855	0.77087985	0.770667407	0.309379768	0.309299821	0.262481208	0.212770815	0.389840458	0.306150683	0.808467597	0.808378842	0.577506878	0.57745797				357.4870635	374.520654			0.40991941			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS	(1 | Vehicle)	0.815669207	0.576115976	1.391811788	0.877194444	0.698116448	0.697836538	0.146663125	0.146564342									0.815669207	0.576115976	1.391811788	0.877194444	0.698116448	0.697836538	0.146663125	0.146564342	0.718994926	0.698116448		5268.40124	5291.112694					0.049477776	NA	0.0494777757175919	(Intercept):0.6454:NA | RMSAS:2.9343:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.797862726	0.55734261	1.439779553	0.897100756	0.710890378	0.710622312	0.086830295	0.086724585									0.797862726	0.55734261	1.439779553	0.897100756	0.710890378	0.710622312	0.086830295	0.086724585	0.744889565	0.710890378		5178.146315	5212.213496					0.000205603	-0.00580970127987685	0.00020560258077821	(Intercept):0.6122:NA | RMSAS:3.0399:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.797862726	0.55734261	1.439779553	0.897100756	0.710890378	0.710622312	0.086830295	0.086724585									0.797862726	0.55734261	1.439779553	0.897100756	0.710890378	0.710622312	0.086830295	0.086724585	0.744889565	0.710890378		5178.146315	5212.213496					0.000205603	-0.00580970127987685	0.164164422613998	(Intercept):0.6122:NA | RMSAS:3.0399:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	IRI	IRI ~ RMSAS + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS_div_V	(1 | Vehicle)	0.688788236	0.48928483	1.386050384	0.860850718	0.77361362	0.773403712	0.153713278	0.153615311									0.688788236	0.48928483	1.386050384	0.860850718	0.77361362	0.773403712	0.153713278	0.153615311	0.803316671	0.77361362		4539.415687	4562.127141					0.071714142	NA	0.0717141416073145	(Intercept):0.4096:NA | RMSAS_div_V:238.139:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.544185124	0.366719656	1.249808985	0.916354382	0.328016776	0.327393704	0.311907575	0.31182792									0.544185124	0.366719656	1.249808985	0.916354382	0.328016776	0.327393704	0.311907575	0.31182792	0.885141079	0.328016776		3532.311724	3566.378905					0.005165635	0.109607535283601	0.00516563450786488	(Intercept):0.1497:NA | RMSAS_div_V:160.3171:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.544185124	0.366719656	1.249808985	0.916354382	0.328016776	0.327393704	0.311907575	0.31182792									0.544185124	0.366719656	1.249808985	0.916354382	0.328016776	0.327393704	0.311907575	0.31182792	0.885141079	0.328016776		3532.311724	3566.378905					0.005165635	0.109607535283601	2.32571851002124	(Intercept):0.1497:NA | RMSAS_div_V:160.3171:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 + RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS + V	(1 | Vehicle)	0.687674416	0.484327831	1.430611174	0.866155067	0.775344003	0.775031402	0.09842322	0.09826666									0.687674416	0.484327831	1.430611174	0.866155067	0.775344003	0.775031402	0.09842322	0.09826666	0.803169545	0.775344003		4534.292202	4562.681519					0.066913965	NA	0.0669139651350316	(Intercept):1.6692:NA | RMSAS:3.302:NA | V:-0.0164:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS + V	(1 + RMSAS | Vehicle)	0.65929776	0.461977885	1.492954044	0.892279492	0.785620798	0.785322497	0.018133662	0.01796316									0.65929776	0.461977885	1.492954044	0.892279492	0.785620798	0.785322497	0.018133662	0.01796316	0.830286077	0.785620798		4357.423711	4397.168755					0	0	0	(Intercept):1.658:NA | RMSAS:3.4316:NA | V:-0.0168:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed	IRI	IRI ~ RMSAS + V	(1 + RMSAS | Vehicle)	0.65929776	0.461977885	1.492954044	0.892279492	0.785620798	0.785322497	0.018133662	0.01796316									0.65929776	0.461977885	1.492954044	0.892279492	0.785620798	0.785322497	0.018133662	0.01796316	0.830286077	0.785620798		4357.423711	4397.168755					0	0	0.204877118277031	(Intercept):1.658:NA | RMSAS:3.4316:NA | V:-0.0168:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	IRI	IRI ~ RMSAS + V + Vehicle_Category	(1 | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	2	16	Mixed ( Skipped - Insufficient Training Categories (1 < 2) for fixed category effect. )	log_IRI	log_IRI ~ log_RMSAS + log_V + Vehicle_Category	(1 + log_RMSAS | Vehicle)																																			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Aggregated	IRI	IRI		0.897406832	0.638033139	1.369252532	0.891691784	0.645237068	0.645127506	0.174101651	0.17399967									0.897406832	0.638033139	1.369252532	0.891691784	0.645237068	0.645127506	0.174101651	0.17399967				8499.287795	8517.537781			0			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Aggregated	IRI	IRI		0.796163708	0.563480891	1.337082644	0.851943989	0.720768605	0.720682369	0.212453882	0.212356636									0.796163708	0.563480891	1.337082644	0.851943989	0.720768605	0.720682369	0.212453882	0.212356636				7723.602769	7741.852755			1.5237E-285			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Aggregated	log_IRI	log_IRI		0.864736008	0.609405105	1.267617318	0.862336867	0.670597736	0.670394213	0.292158829	0.292071425	0.864736008	0.609405105	1.267617318	0.862336867	0.670597736	0.670394213	0.292158829	0.292071425	0.316888143	0.251331135	0.409996179	0.3228736	0.720837034	0.720750819	0.532689604	0.5326319				1753.864036	1772.114022			3.0207E-06			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Aggregated	log_IRI	log_IRI		0.77749154	0.551293211	1.232599549	0.823286479	0.733712465	0.733547938	0.330726698	0.330644056	0.77749154	0.551293211	1.232599549	0.823286479	0.733712465	0.733547938	0.330726698	0.330644056	0.285344419	0.229771652	0.387842058	0.304135865	0.773647868	0.773577963	0.581827345	0.581775709				1074.423638	1092.673624			0.472933306			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS	(1 | Vehicle)	0.87967452	0.621453575	1.390731815	0.897042903	0.654596489	0.654383079	0.1479869	0.147881694									0.87967452	0.621453575	1.390731815	0.897042903	0.654596489	0.654383079	0.1479869	0.147881694	0.668078034	0.654596489		8386.309785	8410.643099					0.03145872	NA	0.0314587195804426	(Intercept):0.7518:NA | RMSAS:2.8059:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.865348254	0.607821546	1.423687291	0.910098616	0.663919368	0.663711718	0.107129019	0.107018767									0.865348254	0.607821546	1.423687291	0.910098616	0.663919368	0.663711718	0.107129019	0.107018767	0.69053724	0.663919368		8295.852989	8332.35296					0.023207602	-0.0371584945597	0.0232076018961549	(Intercept):0.7251:NA | RMSAS:2.8801:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.865348254	0.607821546	1.423687291	0.910098616	0.663919368	0.663711718	0.107129019	0.107018767									0.865348254	0.607821546	1.423687291	0.910098616	0.663919368	0.663711718	0.107129019	0.107018767	0.69053724	0.663919368		8295.852989	8332.35296					0.023207602	-0.0371584945597	0.155993843151544	(Intercept):0.7251:NA | RMSAS:2.8801:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 | Vehicle)	0.879675008	0.621422274			0.65481404	0.654494029											0.879675008	0.621422274			0.65481404	0.654494029			0.667610685	0.65481404		8388.152816	8418.569459					0.029818543	NA	0.0298185429662245	(Intercept):0.7232:NA | RMSAS:2.8059:NA | Vehicle_CategoryVan_MPV_SUV:0.0859:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)	0.865340647	0.607978867			0.661016315	0.660702053											0.865340647	0.607978867			0.661016315	0.660702053			0.694159022	0.661016315		8288.728286	8331.311587					0	0	0	(Intercept):0.6149:NA | RMSAS:2.8796:NA | Vehicle_CategoryVan_MPV_SUV:0.3286:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)	0.865340647	0.607978867			0.661016315	0.660702053											0.865340647	0.607978867			0.661016315	0.660702053			0.694159022	0.661016315		8288.728286	8331.311587					0	0	0.14806796486233	(Intercept):0.6149:NA | RMSAS:2.8796:NA | Vehicle_CategoryVan_MPV_SUV:0.3286:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V	(1 | Vehicle)	0.768676261	0.542366197	1.367292037	0.859692413	0.730685238	0.73051884	0.176465	0.17636331									0.768676261	0.542366197	1.367292037	0.859692413	0.730685238	0.73051884	0.176465	0.17636331	0.74916687	0.730685238		7514.0601	7538.393414					0.043575227	NA	0.0435752274399809	(Intercept):0.5156:NA | RMSAS_div_V:227.1693:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.657483651	0.436624526	1.091849618	0.749313378	0.397533387	0.39716115	0.474847853	0.474783007									0.657483651	0.436624526	1.091849618	0.749313378	0.397533387	0.39716115	0.474847853	0.474783007	0.781728123	0.397533387		6527.614706	6564.114677					0.081882089	-0.353417308553142	0.0818820889202765	(Intercept):0.5866:NA | RMSAS_div_V:153.7101:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.657483651	0.436624526	1.091849618	0.749313378	0.397533387	0.39716115	0.474847853	0.474783007									0.657483651	0.436624526	1.091849618	0.749313378	0.397533387	0.39716115	0.474847853	0.474783007	0.781728123	0.397533387		6527.614706	6564.114677					0.081882089	-0.353417308553142	2.00769085847375	(Intercept):0.5866:NA | RMSAS_div_V:153.7101:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 | Vehicle)	0.768676296	0.542366064			0.730753687	0.730504077											0.768676296	0.542366064			0.730753687	0.730504077			0.74909242	0.730753687		7516.036226	7546.452869					0.043225478	NA	0.0432254779814696	(Intercept):0.5023:NA | RMSAS_div_V:227.1693:NA | Vehicle_CategoryVan_MPV_SUV:0.0397:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 + RMSAS | Vehicle)	0.657474768	0.436719437			0.332886654	0.332268193											0.657474768	0.436719437			0.332886654	0.332268193			0.823000687	0.332886654		6518.290746	6560.874046					0.002983604	0.0774512314578333	0.00298360390461744	(Intercept):0.1763:NA | RMSAS_div_V:153.7188:NA | Vehicle_CategoryVan_MPV_SUV:0.3627:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS_div_V + Vehicle_Category	(1 + RMSAS | Vehicle)	0.657474768	0.436719437			0.332886654	0.332268193											0.657474768	0.436719437			0.332886654	0.332268193			0.823000687	0.332886654		6518.290746	6560.874046					0.002983604	0.0774512314578333	2.01055282507163	(Intercept):0.1763:NA | RMSAS_div_V:153.7188:NA | Vehicle_CategoryVan_MPV_SUV:0.3627:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + V	(1 | Vehicle)	0.779108504	0.541380701	1.414282409	0.868949579	0.724349784	0.724094237	0.118886671	0.118723461									0.779108504	0.541380701	1.414282409	0.868949579	0.724349784	0.724094237	0.118886671	0.118723461	0.741713628	0.724349784		7603.138318	7633.554961					0.040844832	NA	0.0408448324170754	(Intercept):1.7002:NA | RMSAS:3.136:NA | V:-0.0152:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + V	(1 + RMSAS | Vehicle)	0.758354596	0.523232681	1.457487065	0.886307052	0.732209004	0.731960743	0.064230446	0.064057113									0.758354596	0.523232681	1.457487065	0.886307052	0.732209004	0.731960743	0.064230446	0.064057113	0.766401214	0.732209004		7445.139886	7487.723186					0.024080597	-0.0422548208039295	0.024080597478206	(Intercept):1.6903:NA | RMSAS:3.2284:NA | V:-0.0155:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + V	(1 + RMSAS | Vehicle)	0.758354596	0.523232681	1.457487065	0.886307052	0.732209004	0.731960743	0.064230446	0.064057113									0.758354596	0.523232681	1.457487065	0.886307052	0.732209004	0.731960743	0.064230446	0.064057113	0.766401214	0.732209004		7445.139886	7487.723186					0.024080597	-0.0422548208039295	0.201574636248847	(Intercept):1.6903:NA | RMSAS:3.2284:NA | V:-0.0155:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	IRI	IRI ~ RMSAS + V + Vehicle_Category	(1 | Vehicle)	0.779108622	0.541370303			0.724533781	0.724193173											0.779108622	0.541370303			0.724533781	0.724193173			0.741501734	0.724533781		7605.06766	7641.567632					0.039880865	NA	0.0398808651201421	(Intercept):1.6782:NA | RMSAS:3.136:NA | V:-0.0152:NA | Vehicle_CategoryVan_MPV_SUV:0.0659:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	log_IRI	log_IRI ~ log_RMSAS + log_V + Vehicle_Category	(1 + log_RMSAS | Vehicle)	0.643418855	0.423447256			0.817632662	0.817407169			0.643418855	0.423447256			0.817632662	0.817407169			0.22594001	0.172581603			0.764633342	0.764342316			0.894213038	0.764633342		-403.6248645	-354.9582356					0.083092081	0.0156093709174978	0.0830920807877682	(Intercept):3.3964:NA | log_RMSAS:0.8768:NA | log_V:-0.5196:NA | Vehicle_CategoryVan_MPV_SUV:0.5254:NA
1	Variable Train (by Vehicle), Variable Test	3	15	Mixed	log_IRI	log_IRI ~ log_RMSAS + log_V + Vehicle_Category	(1 + log_RMSAS | Vehicle)	0.643418855	0.423447256			0.817632662	0.817407169			0.643418855	0.423447256			0.817632662	0.817407169			0.22594001	0.172581603			0.764633342	0.764342316			0.894213038	0.764633342		-403.6248645	-354.9582356					0.083092081	0.0156093709174978	0.00293231867742436	(Intercept):3.3964:NA | log_RMSAS:0.8768:NA | log_V:-0.5196:NA | Vehicle_CategoryVan_MPV_SUV:0.5254:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Aggregated	IRI	IRI		0.865716736	0.619101567	1.329325102	0.871116981	0.669850139	0.66977368	0.221565808	0.22146282									0.865716736	0.619101567	1.329325102	0.871116981	0.669850139	0.66977368	0.221565808	0.22146282				11019.76237	11038.8754			0			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Aggregated	IRI	IRI		0.779077241	0.536751299	1.308870195	0.848440818	0.732625167	0.732563246	0.245337711	0.245237868									0.779077241	0.536751299	1.308870195	0.848440818	0.732625167	0.732563246	0.245337711	0.245237868				10108.6954	10127.80843			0			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Aggregated	log_IRI	log_IRI		0.839382255	0.599306451	1.239518505	0.844909059	0.689630483	0.689486694	0.323191941	0.323102398	0.839382255	0.599306451	1.239518505	0.844909059	0.689630483	0.689486694	0.323191941	0.323102398	0.313331405	0.250477303	0.408229992	0.321902621	0.727068491	0.727005283	0.536707102	0.536645807				2238.96208	2258.075112			0.363504109			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Aggregated	log_IRI	log_IRI		0.75691739	0.524137865	1.228022794	0.827469698	0.747619115	0.747502191	0.335687616	0.335599727	0.75691739	0.524137865	1.228022794	0.827469698	0.747619115	0.747502191	0.335687616	0.335599727	0.278583141	0.219620678	0.391633682	0.310833972	0.784247674	0.784197708	0.573611094	0.573554683				1223.374282	1242.487314			0.382173161			NA	NA	NA:NA:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS	(1 | Vehicle)	0.842911766	0.592436032	1.353524044	0.877458232	0.680533464	0.68038546	0.192966724	0.192859952									0.842911766	0.592436032	1.353524044	0.877458232	0.680533464	0.68038546	0.192966724	0.192859952	0.697256732	0.680533464		10811.47034	10836.95438					0.039283173	NA	0.039283172705739	(Intercept):0.6931:NA | RMSAS:2.7809:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.831532686	0.581562579	1.37841604	0.887416983	0.685939517	0.685794018	0.163010271	0.162899536									0.831532686	0.581562579	1.37841604	0.887416983	0.685939517	0.685794018	0.163010271	0.162899536	0.715025633	0.685939517		10714.22679	10752.45286					0.025347607	-0.0210775871395791	0.0253476071134486	(Intercept):0.6726:NA | RMSAS:2.84:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS	(1 + RMSAS | Vehicle)	0.831532686	0.581562579	1.37841604	0.887416983	0.685939517	0.685794018	0.163010271	0.162899536									0.831532686	0.581562579	1.37841604	0.887416983	0.685939517	0.685794018	0.163010271	0.162899536	0.715025633	0.685939517		10714.22679	10752.45286					0.025347607	-0.0210775871395791	0.120597145356831	(Intercept):0.6726:NA | RMSAS:2.84:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 | Vehicle)	0.84291283	0.592390019			0.681407871	0.681186421											0.84291283	0.592390019			0.681407871	0.681186421			0.695789933	0.681407871		10812.85882	10844.71387					0.033620756	NA	0.0336207563443449	(Intercept):0.6497:NA | RMSAS:2.7809:NA | Vehicle_CategoryVan_MPV_SUV:0.1738:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)	0.831811899	0.58220483			0.68428746	0.684068012											0.831811899	0.58220483			0.68428746	0.684068012			0.716126574	0.68428746		10705.68027	10750.27734					0.000149783	0.00426929625676009	0.0001497833078699	(Intercept):0.5788:NA | RMSAS:2.8407:NA | Vehicle_CategoryVan_MPV_SUV:0.3741:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS + Vehicle_Category	(1 + RMSAS | Vehicle)	0.831811899	0.58220483			0.68428746	0.684068012											0.831811899	0.58220483			0.68428746	0.684068012			0.716126574	0.68428746		10705.68027	10750.27734					0.000149783	0.00426929625676009	0.121688410859051	(Intercept):0.5788:NA | RMSAS:2.8407:NA | Vehicle_CategoryVan_MPV_SUV:0.3741:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS_div_V	(1 | Vehicle)	0.747687757	0.512688036	1.340005761	0.8573484	0.743112185	0.742993173	0.209006666	0.208902016									0.747687757	0.512688036	1.340005761	0.8573484	0.743112185	0.742993173	0.209006666	0.208902016	0.763704767	0.743112185		9777.557923	9803.041966					0.048763454	NA	0.0487634537817541	(Intercept):0.4893:NA | RMSAS_div_V:221.0931:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.616302846	0.392390674	1.160258005	0.803397005	0.3545198	0.354220759	0.406980958	0.4069025									0.616302846	0.392390674	1.160258005	0.803397005	0.3545198	0.354220759	0.406980958	0.4069025	0.820691048	0.3545198		8143.915125	8182.141189					0.064204955	-0.266039988542348	0.0642049548167671	(Intercept):0.4795:NA | RMSAS_div_V:144.5662:NA
1	Variable Train (by Vehicle), Variable Test	4	14	Mixed	IRI	IRI ~ RMSAS_div_V	(1 + RMSAS | Vehicle)	0.616302846	0.392390674	1.160258005	0.803397005	0.3545198	0.354220759	0.406980958	0.4069025									0.616302846	0.392390674	1.160258005	0.803397005	0.3545198	0.354220759	0.406980958	0.4069025	0.820691048	0.3545198		8143.915125	8182.141189					0.064204955	-0.266039988542348	2.11645024490366	(Intercept):0.4795:NA | RMSAS_div_V:144.5662:NA
